time,A,B,C
2020-07-09 00:00:00,13.3,,15.6
2020-07-09 00:10:00,13.4,,15.6
2020-07-09 00:20:00,13.3,,15.6
2020-07-09 00:30:00,13.3,,15.7
2020-07-09 00:40:00,13.3,,15.6
2020-07-09 00:50:00,13.2,,15.6
2020-07-09 01:00:00,13.2,,15.7
2020-07-09 01:10:00,13.2,,15.8
2020-07-09 01:20:00,13.1,,15.6
2020-07-09 01:30:00,13.0,,15.6
2020-07-09 01:40:00,13.0,,15.5
2020-07-09 01:50:00,13.0,,15.5
2020-07-09 02:00:00,12.8,,15.5
2020-07-09 02:10:00,12.8,,15.6
2020-07-09 02:20:00,12.7,,15.6
2020-07-09 02:30:00,12.4,,15.5
2020-07-09 02:40:00,12.4,,15.4
2020-07-09 02:50:00,12.3,,15.4
2020-07-09 03:00:00,12.3,,15.4
2020-07-09 03:10:00,12.3,,15.4
2020-07-09 03:20:00,12.3,,15.4
2020-07-09 03:30:00,12.3,,15.4
2020-07-09 03:40:00,12.3,,15.3
2020-07-09 03:50:00,12.3,,15.3
2020-07-09 04:00:00,12.3,,15.5
2020-07-09 04:10:00,12.3,,15.4
2020-07-09 04:20:00,12.3,,15.5
2020-07-09 04:30:00,12.4,,15.7
2020-07-09 04:40:00,12.4,,15.9
2020-07-09 04:50:00,12.4,,16.1
2020-07-09 05:00:00,12.5,,16.2
2020-07-09 05:10:00,12.6,,16.4
2020-07-09 05:20:00,12.6,,16.7
2020-07-09 05:30:00,12.7,,17.0
2020-07-09 05:40:00,12.8,,16.9
2020-07-09 05:50:00,12.8,,17.1
2020-07-09 06:00:00,12.8,,17.1
2020-07-09 06:10:00,12.7,,17.2
2020-07-09 06:20:00,12.8,19.1,17.5
2020-07-09 06:30:00,12.8,19.3,17.9
2020-07-09 06:40:00,12.9,19.0,18.5
2020-07-09 06:50:00,12.9,19.8,18.7
2020-07-09 07:00:00,13.0,20.3,19.1
2020-07-09 07:10:00,13.1,20.4,19.0
2020-07-09 07:20:00,13.1,20.7,19.2
2020-07-09 07:30:00,13.0,21.1,19.4
2020-07-09 07:40:00,13.0,21.1,20.0
2020-07-09 07:50:00,13.0,21.3,20.3
2020-07-09 08:00:00,13.0,21.6,20.4
2020-07-09 08:10:00,13.1,22.0,20.8
2020-07-09 08:20:00,13.2,22.4,20.9
2020-07-09 08:30:00,13.4,22.7,21.8
2020-07-09 08:40:00,13.5,22.4,22.0
2020-07-09 08:50:00,13.4,23.2,22.9
2020-07-09 09:00:00,13.4,23.7,23.3
2020-07-09 09:10:00,13.3,23.7,23.9
2020-07-09 09:20:00,13.9,24.9,24.4
2020-07-09 09:30:00,13.6,25.0,23.5
2020-07-09 09:40:00,13.8,25.2,23.6
2020-07-09 09:50:00,13.8,25.5,23.9
2020-07-09 10:00:00,13.9,25.0,24.8
2020-07-09 10:10:00,14.1,24.9,24.7
2020-07-09 10:20:00,14.4,24.5,24.7
2020-07-09 10:30:00,14.3,24.2,25.0
2020-07-09 10:40:00,14.7,24.8,26.2
2020-07-09 10:50:00,14.7,25.6,25.2
2020-07-09 11:00:00,14.6,25.6,25.6
2020-07-09 11:10:00,14.4,25.1,26.9
2020-07-09 11:20:00,14.3,24.5,27.4
2020-07-09 11:30:00,14.5,24.7,27.1
2020-07-09 11:40:00,14.3,24.5,27.5
2020-07-09 11:50:00,14.0,24.5,27.3
2020-07-09 12:00:00,14.4,24.5,28.2
2020-07-09 12:10:00,14.4,24.4,27.6
2020-07-09 12:20:00,14.7,24.3,28.4
2020-07-09 12:30:00,14.8,24.3,29.0
2020-07-09 12:40:00,15.0,25.4,29.5
2020-07-09 12:50:00,15.1,25.4,28.1
2020-07-09 13:00:00,15.1,25.6,28.3
2020-07-09 13:10:00,15.2,26.3,28.2
2020-07-09 13:20:00,15.0,26.2,29.1
2020-07-09 13:30:00,14.9,26.1,28.9
2020-07-09 13:40:00,14.7,26.6,30.4
2020-07-09 13:50:00,15.2,26.8,29.4
2020-07-09 14:00:00,15.0,25.8,28.3
2020-07-09 14:10:00,14.8,25.5,29.5
2020-07-09 14:20:00,14.7,27.2,28.6
2020-07-09 14:30:00,14.4,26.7,28.7
2020-07-09 14:40:00,14.5,27.1,28.3
2020-07-09 14:50:00,14.5,27.6,29.5
2020-07-09 15:00:00,14.6,27.1,28.8
2020-07-09 15:10:00,14.5,27.3,29.7
2020-07-09 15:20:00,14.3,27.5,29.1
2020-07-09 15:30:00,14.6,27.8,28.5
2020-07-09 15:40:00,14.5,27.9,28.1
2020-07-09 15:50:00,14.4,27.8,28.4
2020-07-09 16:00:00,14.4,27.6,29.2
2020-07-09 16:10:00,14.5,27.2,29.3
2020-07-09 16:20:00,14.4,27.7,29.3
2020-07-09 16:30:00,14.5,27.4,29.0
2020-07-09 16:40:00,14.5,27.1,28.9
2020-07-09 16:50:00,14.5,27.8,29.0
2020-07-09 17:00:00,14.5,28.1,28.5
2020-07-09 17:10:00,14.5,27.4,28.2
2020-07-09 17:20:00,14.6,26.9,28.0
2020-07-09 17:30:00,14.4,26.4,27.7
2020-07-09 17:40:00,14.4,26.0,27.4
2020-07-09 17:50:00,14.2,25.3,27.1
2020-07-09 18:00:00,14.3,24.9,27.0
2020-07-09 18:10:00,14.3,23.8,26.4
2020-07-09 18:20:00,14.3,22.8,25.8
2020-07-09 18:30:00,14.3,22.0,25.4
2020-07-09 18:40:00,14.3,21.6,24.9
2020-07-09 18:50:00,14.3,20.6,24.2
2020-07-09 19:00:00,14.1,20.1,23.8
2020-07-09 19:10:00,14.2,19.9,23.5
2020-07-09 19:20:00,14.1,19.5,23.1
2020-07-09 19:30:00,14.1,19.2,22.4
2020-07-09 19:40:00,14.1,18.9,21.6
2020-07-09 19:50:00,14.1,18.7,21.0
2020-07-09 20:00:00,14.0,18.4,20.3
2020-07-09 20:10:00,14.0,18.1,19.8
2020-07-09 20:20:00,13.9,18.3,19.4
2020-07-09 20:30:00,13.9,17.9,19.0
2020-07-09 20:40:00,13.9,17.6,18.8
2020-07-09 20:50:00,13.8,17.7,18.6
2020-07-09 21:00:00,13.8,17.4,18.3
2020-07-09 21:10:00,13.7,16.9,18.2
2020-07-09 21:20:00,13.7,17.3,18.2
2020-07-09 21:30:00,13.6,17.1,18.1
2020-07-09 21:40:00,13.6,17.8,17.8
2020-07-09 21:50:00,13.5,17.4,17.5
2020-07-09 22:00:00,13.5,17.2,17.4
2020-07-09 22:10:00,13.4,17.2,17.1
2020-07-09 22:20:00,13.5,17.2,16.9
2020-07-09 22:30:00,13.5,16.7,16.8
2020-07-09 22:40:00,13.4,16.3,16.7
2020-07-09 22:50:00,13.4,16.1,16.6
2020-07-09 23:00:00,13.4,16.4,16.7
2020-07-09 23:10:00,13.4,16.1,16.8
2020-07-09 23:20:00,13.4,16.0,16.9
2020-07-09 23:30:00,13.4,15.9,17.2
2020-07-09 23:40:00,13.3,15.9,17.0
2020-07-09 23:50:00,13.4,15.8,17.2
2020-07-10 00:00:00,13.3,15.9,17.1
2020-07-10 00:10:00,13.3,15.7,16.7
2020-07-10 00:20:00,13.3,15.7,16.5
2020-07-10 00:30:00,13.3,15.8,16.2
2020-07-10 00:40:00,13.3,15.9,16.0
2020-07-10 00:50:00,13.4,15.8,15.8
2020-07-10 01:00:00,13.4,15.7,15.6
2020-07-10 01:10:00,13.4,15.7,15.5
2020-07-10 01:20:00,13.5,15.8,15.3
2020-07-10 01:30:00,13.5,15.7,15.2
2020-07-10 01:40:00,13.6,15.6,15.1
2020-07-10 01:50:00,13.7,15.2,15.2
2020-07-10 02:00:00,13.7,15.4,15.2
2020-07-10 02:10:00,13.7,15.3,15.6
2020-07-10 02:20:00,13.8,15.6,15.5
2020-07-10 02:30:00,13.9,15.1,15.6
2020-07-10 02:40:00,14.0,14.8,16.2
2020-07-10 02:50:00,14.0,14.9,17.4
2020-07-10 03:00:00,14.1,14.5,18.4
2020-07-10 03:10:00,14.1,14.6,20.2
2020-07-10 03:20:00,14.1,14.4,20.6
2020-07-10 03:30:00,14.2,14.5,20.9
2020-07-10 03:40:00,14.3,15.4,21.5
2020-07-10 03:50:00,15.5,15.5,21.3
2020-07-10 04:00:00,15.8,15.2,21.5
2020-07-10 04:10:00,15.8,15.4,21.4
2020-07-10 04:20:00,15.8,15.6,21.6
2020-07-10 04:30:00,15.8,15.8,21.4
2020-07-10 04:40:00,15.8,16.5,21.3
2020-07-10 04:50:00,15.9,16.7,21.4
2020-07-10 05:00:00,16.0,18.0,21.4
2020-07-10 05:10:00,16.0,18.7,21.8
2020-07-10 05:20:00,16.0,18.8,21.3
2020-07-10 05:30:00,16.0,19.3,21.6
2020-07-10 05:40:00,16.1,19.8,22.1
2020-07-10 05:50:00,16.2,20.3,22.5
2020-07-10 06:00:00,15.7,20.7,23.0
2020-07-10 06:10:00,14.7,20.6,22.8
2020-07-10 06:20:00,14.1,21.4,22.8
2020-07-10 06:30:00,13.9,22.0,22.6
2020-07-10 06:40:00,13.7,22.3,22.8
2020-07-10 06:50:00,13.7,22.8,23.4
2020-07-10 07:00:00,13.5,23.3,23.3
2020-07-10 07:10:00,13.4,23.5,23.9
2020-07-10 07:20:00,13.1,23.8,23.7
2020-07-10 07:30:00,13.2,24.3,23.1
2020-07-10 07:40:00,13.3,24.9,23.1
2020-07-10 07:50:00,13.2,25.1,23.5
2020-07-10 08:00:00,13.4,25.2,22.9
2020-07-10 08:10:00,13.2,25.6,22.6
2020-07-10 08:20:00,13.3,26.2,22.7
2020-07-10 08:30:00,13.2,26.7,22.8
2020-07-10 08:40:00,13.3,26.5,22.6
2020-07-10 08:50:00,13.3,26.9,23.1
2020-07-10 09:00:00,13.3,27.1,22.8
2020-07-10 09:10:00,13.2,28.1,22.2
2020-07-10 09:20:00,13.2,28.5,22.7
2020-07-10 09:30:00,13.1,28.9,22.8
2020-07-10 09:40:00,13.0,28.8,22.7
2020-07-10 09:50:00,13.1,28.9,22.9
2020-07-10 10:00:00,12.8,29.5,23.1
2020-07-10 10:10:00,13.3,29.8,23.5
2020-07-10 10:20:00,13.1,30.2,23.4
2020-07-10 10:30:00,13.1,30.3,23.0
2020-07-10 10:40:00,13.4,30.4,22.8
2020-07-10 10:50:00,14.0,30.5,23.4
2020-07-10 11:00:00,13.7,30.4,23.4
2020-07-10 11:10:00,13.9,30.9,25.0
2020-07-10 11:20:00,13.5,30.3,23.6
2020-07-10 11:30:00,13.2,30.0,23.3
2020-07-10 11:40:00,13.2,30.2,22.8
2020-07-10 11:50:00,13.8,30.7,23.0
2020-07-10 12:00:00,14.6,30.4,23.4
2020-07-10 12:10:00,15.4,30.5,25.1
2020-07-10 12:20:00,15.4,30.7,25.0
2020-07-10 12:30:00,14.8,31.0,25.4
2020-07-10 12:40:00,15.5,31.0,23.7
2020-07-10 12:50:00,14.6,31.3,23.2
2020-07-10 13:00:00,14.6,31.0,23.2
2020-07-10 13:10:00,14.4,30.7,23.1
2020-07-10 13:20:00,13.8,30.9,22.7
2020-07-10 13:30:00,13.3,31.1,22.8
2020-07-10 13:40:00,13.5,30.3,23.2
2020-07-10 13:50:00,14.0,30.8,23.4
2020-07-10 14:00:00,14.6,30.3,23.9
2020-07-10 14:10:00,15.5,29.9,24.7
2020-07-10 14:20:00,15.4,30.8,23.4
2020-07-10 14:30:00,14.7,30.6,23.1
2020-07-10 14:40:00,14.3,30.7,22.8
2020-07-10 14:50:00,14.5,30.5,22.3
2020-07-10 15:00:00,13.8,29.8,21.8
2020-07-10 15:10:00,13.5,30.4,21.3
2020-07-10 15:20:00,13.5,30.4,21.1
2020-07-10 15:30:00,13.7,29.4,21.2
2020-07-10 15:40:00,13.6,29.0,21.3
2020-07-10 15:50:00,13.8,30.0,21.5
2020-07-10 16:00:00,13.6,27.9,21.5
2020-07-10 16:10:00,13.9,26.4,21.7
2020-07-10 16:20:00,14.3,26.0,21.4
2020-07-10 16:30:00,14.4,25.6,21.5
2020-07-10 16:40:00,14.8,25.2,21.6
2020-07-10 16:50:00,14.6,24.9,21.2
2020-07-10 17:00:00,15.2,24.7,20.9
2020-07-10 17:10:00,14.5,24.5,20.9
2020-07-10 17:20:00,15.3,24.3,20.7
2020-07-10 17:30:00,14.2,24.2,20.4
2020-07-10 17:40:00,13.9,24.3,20.3
2020-07-10 17:50:00,14.8,22.6,20.1
2020-07-10 18:00:00,15.1,21.6,19.8
2020-07-10 18:10:00,15.0,21.1,19.6
2020-07-10 18:20:00,14.5,20.4,19.2
2020-07-10 18:30:00,14.5,20.1,19.0
2020-07-10 18:40:00,14.3,20.1,19.2
2020-07-10 18:50:00,13.9,19.3,19.0
2020-07-10 19:00:00,13.7,19.2,18.9
2020-07-10 19:10:00,13.5,19.2,18.7
2020-07-10 19:20:00,12.7,18.7,18.7
2020-07-10 19:30:00,12.4,18.5,18.8
2020-07-10 19:40:00,12.0,18.5,18.5
2020-07-10 19:50:00,11.6,18.4,18.3
2020-07-10 20:00:00,11.3,18.4,18.2
2020-07-10 20:10:00,11.2,18.4,18.1
2020-07-10 20:20:00,10.8,18.4,17.7
2020-07-10 20:30:00,10.2,18.3,17.5
2020-07-10 20:40:00,10.0,18.4,17.5
2020-07-10 20:50:00,9.4,18.4,17.4
2020-07-10 21:00:00,8.9,18.4,17.3
2020-07-10 21:10:00,9.3,18.3,17.7
2020-07-10 21:20:00,8.7,18.3,17.7
2020-07-10 21:30:00,9.6,18.2,17.6
2020-07-10 21:40:00,9.8,18.2,17.5
2020-07-10 21:50:00,9.5,18.3,17.6
2020-07-10 22:00:00,9.5,18.3,17.5
2020-07-10 22:10:00,9.5,18.3,17.4
2020-07-10 22:20:00,9.6,18.3,17.2
2020-07-10 22:30:00,9.5,18.2,17.1
2020-07-10 22:40:00,9.5,18.2,17.1
2020-07-10 22:50:00,9.6,18.2,17.0
2020-07-10 23:00:00,9.6,18.3,15.9
2020-07-10 23:10:00,9.5,18.1,15.2
2020-07-10 23:20:00,9.5,17.7,15.1
2020-07-10 23:30:00,9.6,17.4,14.8
2020-07-10 23:40:00,9.5,17.3,14.7
2020-07-10 23:50:00,9.4,17.5,14.7
2020-07-11 00:00:00,9.4,17.5,14.4
2020-07-11 00:10:00,9.3,17.4,14.3
2020-07-11 00:20:00,9.6,17.4,14.3
2020-07-11 00:30:00,9.4,17.4,14.0
2020-07-11 00:40:00,9.4,17.3,13.8
2020-07-11 00:50:00,9.4,17.2,13.8
2020-07-11 01:00:00,9.4,17.2,13.7
2020-07-11 01:10:00,9.3,17.1,13.6
2020-07-11 01:20:00,9.1,17.2,13.4
2020-07-11 01:30:00,9.1,17.3,12.9
2020-07-11 01:40:00,9.2,17.2,12.6
2020-07-11 01:50:00,9.5,17.2,12.3
2020-07-11 02:00:00,9.5,17.1,12.1
